product_id,product_name,category,cost,lead_time_days,price,stock,demand
SKU-0011,AndesTech Cable HDMI Edición 2026,Accessorios,23.84,14,37.49,29,5
SKU-0002,Atacama DAC portátil Plus,Audio,136.76,10,181.89,187,78
SKU-0003,Zonda Cargador USB-C Compacto,Accessorios,20.88,13,27.35,583,271
SKU-0004,AndesTech DAC portátil Plus,Audio,157.35,4,218.72,448,107
SKU-0005,Zonda Control inalámbrico Compacto,Gaming,73.94,5,91.69,187,40
SKU-0006,Surik Teléfono inteligente Lite,Smartphones,581.12,17,650.85,79,43
SKU-0007,Volta DAC portátil Edición 2026,Audio,117.83,11,135.5,293,136
SKU-0008,AndesTech Cámara digital Max,Cameras,687.38,12,845.48,54,56
SKU-0009,Pionyx Módem Lite,Network,196.42,3,253.38,105,187
SKU-0010,Altamar Smartphone Compacto,Smartphones,220.54,20,262.44,89,2
SKU-0011,Atacama Smartphone compacto Plus,Smartphones,576.22,20,674.18,23,50
SKU-0012,Altamar Silla gamer Plus,Gaming,146.0,10,173.74,165,89
SKU-0013,Pionyx Parlante Bluetooth Eco,Audio,109.59,8,144.66,241,21
SKU-0014,AndesTech Cámara digital 2ª Gen,Cameras,415.88,7,515.69,80,21
SKU-0015,AndesTech DAC portátil Avanzado,Audio,35.78,3,44.01,269,239
SKU-0016,Surik Router Wi‑Fi Lite,Network,70.22,7,87.07,470,27
SKU-0017,Zonda Timbre inteligente Max,Smart Home,168.41,7,212.2,10,91
SKU-0018,Arauco Silla gamer Plus,Gaming,344.92,9,407.01,141,77
SKU-0019,Pacífico All-in-One Edición 2026,Computadores,401.65,28,433.78,56,4
SKU-0020,Arauco Router Wi‑Fi Edición 2026,Network,72.61,11,91.49,79,51
SKU-0021,Zonda Móvil 5G Edición 2026,Smartphones,404.05,24,452.54,62,42
SKU-0022,Zonda DAC portátil Lite,Audio,185.86,4,243.48,482,70
SKU-0023,Pacífico Cargador inalámbrico Serie X,Accessorios,3.78,6,5.37,268,87
SKU-0024,Cordillera Cámara réflex Lite,Cameras,302.74,16,336.04,72,33
SKU-0025,Pacífico Notebook ultraligero Pro,Computadores,1044.43,22,1159.32,96,12
SKU-0026,Arauco Smartphone compacto Lite,Smartphones,505.38,28,611.51,11,6
SKU-0027,Zonda Termostato inteligente Plus,Smart Home,116.94,16,168.39,103,65
SKU-0028,Arauco TV QLED Eco,TV & Video,363.51,10,392.59,35,54
